CVE ID,CWE Type,Current Commit,Previous Commit
CVE-2021-41113,CWE-352: Cross-Site Request Forgery (CSRF),https://github.com/TYPO3/typo3,fa51999203c5e5d913ecae5ea843ccb2b95fa33f,5d849154a22bb956a75186b063e52cf9c74909a7
CVE-2021-41114,CWE-644: Improper Neutralization of HTTP Headers for Scripting Syntax,https://github.com/TYPO3/typo3,5cbff85506cebe343e5ae59228977547cf8e3cf4,fa51999203c5e5d913ecae5ea843ccb2b95fa33f
CVE-2021-41176,CWE-352: Cross-Site Request Forgery (CSRF),https://github.com/pterodactyl/panel,45999ba4ee1b2dcb12b4a2fa2cedfb6b5d66fac2,22a8b2b3a2e3277155440b8e73a070b21ea402f7
CVE-2021-41139,CWE-79: Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),https://github.com/anuko/timetracker,559906731f153c9b3a632c2839ed11669b76d593,71796c69b7128ce6d49c6772ccfa8c0c14ff4ba0
CVE-2021-41129,CWE-639: Authorization Bypass Through User-Controlled Key,https://github.com/pterodactyl/panel,4a84c36009be10dbd83051ac1771662c056e4977,5fdb0a590905a2f6866a99d5096ff38c8341a3aa
CVE-2021-41171,CWE-307: Improper Restriction of Excessive Authentication Attempts,https://github.com/elabftw/elabftw,8e92afeec4c3a68dc88333881b7e6307f425706b,20e785fed8450bdda78e8dc2954c91f31b685ccc
CVE-2021-41273,CWE-352: Cross-Site Request Forgery (CSRF),https://github.com/pterodactyl/panel,bf9cbe2c6d5266c6914223e067c56175de7fc3a5,cc31a0a6d028fbcba94e68e67aaef3be9d683a71
CVE-2021-41270,CWE-1236: Improper Neutralization of Formula Elements in a CSV File,https://github.com/symfony/symfony,3da6f2d45e7536ccb2a26f52fbaf340917e208a8,a9b53832f1258c0485fde1c7a60fbd2b1f07bf82
CVE-2021-41268,CWE-384: Session Fixation,https://github.com/symfony/symfony,36a808b857cd3240244f4b224452fb1e70dc6dfc,808977847fa40f8323c4c850f8ae6f58cffad754
CVE-2021-41236,CWE-79: Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),https://github.com/oroinc/platform,2a089c971fc70bc63baf8770d29ee515ce5a415a,d9d0210b1af70794d6ef36d87edabbde51024c18
CVE-2021-41116,CWE-77: Improper Neutralization of Special Elements used in a Command ('Command Injection'),https://github.com/composer/composer,ca5e2f8d505fd3bfac6f7c85b82f2740becbc0aa,1a994e41d4e4ece6f1e78c2139a8dc7a977d1edd
CVE-2021-41267,CWE-444: Inconsistent Interpretation of HTTP Requests ('HTTP Request/Response Smuggling'),https://github.com/symfony/symfony,95dcf51682029e89450aee86267e3d553aa7c487,808977847fa40f8323c4c850f8ae6f58cffad754
CVE-2021-41162,CWE-79: Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),https://github.com/Combodo/iTop,83125d9ae16cfb2527b9d0ab0805a68b863244a0,20f44190620e946d6864daf89b6971269c7e426c
CVE-2021-32648,CWE-287: Improper Authentication,https://github.com/octobercms/library,016a297b1bec55d2e53bc889458ed2cb5c3e9374,78146965383ed72426124664a4eff17a3d293efb
CVE-2021-32644,CWE-79: Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),https://github.com/ampache/ampache,c9453841e1b517a1660c3da1efd1fe5d623c93a5,dcc8fad681f5bccd66f4fa7ed072f1bf700ba96e
CVE-2021-32682,CWE-78: Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection'),https://github.com/Studio-42/elFinder,a106c350b7dfe666a81d6b576816db9fe0899b17,60d1d767659b22481315bea4faf252b8dfdd027d
CVE-2021-32649,CWE-74: Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection'),https://github.com/octobercms/october,167b592eed291ae1563c8fcc5b9b34a03a300f26,baa41ac8541613caa740325fc1629b6ca85354a6
CVE-2021-32693,CWE-287: Improper Authentication,https://github.com/symfony/security-http,6bf4c31219773a558b019ee12e54572174ff8129,746321a1bbd019bf435cf29b0b3da96deaac2b47
CVE-2021-32650,CWE-74: Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection'),https://github.com/octobercms/october,167b592eed291ae1563c8fcc5b9b34a03a300f26,baa41ac8541613caa740325fc1629b6ca85354a6
CVE-2021-32708,CWE-367: Time-of-check Time-of-use (TOCTOU) Race Condition,https://github.com/thephpleague/flysystem,a3c694de9f7e844b76f9d1b61296ebf6e8d89d74,27ba26d8783e2ca3e4a5cf85534ccf1af6c68ec3
CVE-2021-32645,CWE-601: URL Redirection to Untrusted Site ('Open Redirect'),https://github.com/tenancy/multi-tenant,9c837a21bccce9bcaeb90033ef200d84f0d9e164,41150dce84288f24ff68c8df433a45f966a60865
CVE-2007-10002,CWE-89: Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),https://github.com/web-cyradm/web-cyradm,2bcbead3bdb5f118bf2c38c541eaa73c29dcc90f,3e8f0717f133907bb6a09cb674b05c5f273da3e1
CVE-2007-10001,CWE-89: Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),https://github.com/web-cyradm/web-cyradm,3e8f0717f133907bb6a09cb674b05c5f273da3e1,610d7bccb071ebe0ff8468cd3a211dcf86bb7973
CVE-2015-10074,CWE-79: Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),https://github.com/OpenSeaMap/online_chart,8649157158f921590d650e2d2f4bdf0df1017e9d,ca9e794b844b97041dcdf2e1de82f074f9af6aa9
CVE-2015-10086,CWE-89: Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),https://github.com/OpenCycleCompass/server-php,fa0d9bcf81c711a88172ad0d37a842f029ac3782,edda78b0282583e0ad9db4cfc862588d42ccd084
CVE-2015-10057,CWE-284: Improper Access Control,https://github.com/little-apps/little-software-stats,07ba8273a9311d1383f3686ac7cb32f20770ab1e,616d89c54f80278c176573eff7fee3631e49a1e5
CVE-2015-10066,CWE-89: Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),https://github.com/tynx/wuersch,66d4718750a741d1053d327a79e285fd50372519,039d04f92d65061568eb6dce88c74194c2b0b8e6
CVE-2015-10050,CWE-89: Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),https://github.com/brandonfire/miRNA_Database_by_PHP_MySql,307c5d510841e6142ddcbbdbb93d0e8a0dc3fd6a,7838dbb3b799c7b7d4e69e119719a788bf04c78e
CVE-2015-10045,CWE-89: Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),https://github.com/tutrantta/project_todolist,194a0411bbe11aa4813f13c66b9e8ea403539141,8b688a6120f3de67dbc68073907c685fd681ec19
CVE-2015-10051,CWE-89: Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),https://github.com/bony2023/Discussion-Board,26439bc4c63632d63ba89ebc0f149b25a9010361,bbfb295539ab23a3a8966892983e4072f17c9725
CVE-2015-10106,CWE-89: Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),https://github.com/mback2k/mh_httpbl,429f50f4e4795b20dae06735b41fb94f010722bf,7ad9f0e5a44617cc588fb58f3ef4fc9426bef136
CVE-2015-10029,CWE-611: Improper Restriction of XML External Entity Reference,https://github.com/kelvinmo/simplexrd,4c9f2e028523ed705b555eca2c18c64e71f1a35d,5b3654a260e903ad75295a64119468aca3146994
CVE-2015-10058,CWE-79: Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),https://github.com/wikisource/ws-cat-browser,764f4e8ce3f9242637df77530c70ae8a2ec4b6a1,6cc12cb28dff336e2abc72c598eea510a1c68fd0
CVE-2015-10097,CWE-89: Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),https://github.com/grinnellplans/grinnellplans-php,57e4409e19203a94495140ff1b5a697734d17cfb,4512e3f39eb0abe199f4d1f676bfdabb9640ebbf
CVE-2015-10075,CWE-79: Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),https://github.com/georgestephanis/Custom-Content-Width,e05e0104fc42ad13b57e2b2cb2d1857432624d39,1f0cf1a536c14f86852ce37c6496a707c83fcf21
CVE-2015-10018,CWE-89: Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),https://github.com/DBRisinajumi/d2files,b5767f2ec9d0f3cbfda7f13c84740e2179c90574,b5101d20a4e122f559e0611deb9687aeec23655d
CVE-2015-10032,CWE-79: Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),https://github.com/StevenElberger/HealthMateWeb,472776c25b1046ecaf962c46fed7c713c72c28e3,770c02a493f70263b29e96b56ba355db23e35e7a
CVE-2015-10084,CWE-89: Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),https://github.com/irontec/klear-library,b25262de52fdaffde2a4434fc2a84408b304fbc5,f7b292f2c13660ca316bd584db9e6a574c2a2ae0
CVE-2015-10009,CWE-94: Improper Control of Generation of Code ('Code Injection'),https://github.com/nonfiction/nterchange_backend,fba7d89176fba8fe289edd58835fe45080797d99,510127dbca17d5d113c0e66620fb0d655a44bb2c
CVE-2015-10042,CWE-89: Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),https://github.com/Dovgalyuk/AIBattle-disabled-,448e9880aac18ae7832f8d065e03e46ce0f1d3e3,09c36d88d65efb9448a30f5305e2bf7081a74406
CVE-2015-10063,CWE-89: Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),https://github.com/saemorris/TheRadSystem,bfba26bd34af31648a11af35a0bb66f1948752a6,45d5889368105d0042106cbe9aaac818cbdc29cc
CVE-2015-10071,CWE-640: Weak Password Recovery Mechanism for Forgotten Password,https://github.com/gitter-badger/ezpublish-modern-legacy,5908d5ee65fec61ce0e321d586530461a210bf2a,7d72ff964e1ef617a30c228fb0eb848369c64bde
CVE-2015-10070,CWE-89: Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),https://github.com/copperwall/twiddit,2203d4ce9810bdaccece5c48ff4888658a01acfc,0c8b7772ac30c9621af94ac4359b031c81d9d458
CVE-2015-10129,CWE-697: Incorrect Comparison,https://github.com/samwilson/planet-freo,6ad38c58a45642eb8c7844e2f272ef199f59550d,07aa4f5484dfefe4d9d5870b31d2e2269583fdd2
CVE-2015-10077,CWE-89: Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),https://github.com/webbuilders-group/silverstripe-kapost-bridge,2e14b0fd0ea35034f90890f364b130fb4645ff35,d02049f1510e019f6abd26f9734964880b28cea1
CVE-2015-10064,CWE-89: Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),https://github.com/VictorFerraresi/pokemon-database-php,dd0e1e6cdf648d6a3deff441f515bcb1d7573d68,3727400a5384333a7cd76b107d272f135087c0e7
CVE-2015-10019,CWE-79: Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),https://github.com/foxoverflow/MySimplifiedSQL,3b7481c72786f88041b7c2d83bb4f219f77f1293,4915f72cb2957c68a2b0278a81ceba61d7de2476
CVE-2015-10041,CWE-89: Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),https://github.com/Dovgalyuk/AIBattle-disabled-,e3aa4d0900167641d41cbccf53909229f00381c9,5e51243dfb33965a207770886570287592f90506
CVE-2015-10031,CWE-89: Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),https://github.com/purpleparrots/491-Project,a812a5e4cf72f2a635a716086fe1ee2b8fa0b1ab,e53baf595b3f214731570a337fb84a897d1cca9c
CVE-2015-10073,CWE-79: Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),https://github.com/tinymighty/wiki-seo,089a5797be612b18a820f9f1e6593ad9a91b1dba,b8a947ea85858388a27c9d602066c2078bf31313
CVE-2015-10006,CWE-79: Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),https://github.com/admont28/ingnovarq,9d18a39944d79dfedacd754a742df38f99d3c0e2,f7eb27b88eb93321dcb1d096773b56b14ce8aa20
CVE-2018-25094,CWE-24: Path Traversal: '../filedir',https://github.com/59160781/project,9d9618422b980335bb30be612ea90f4f56cb992c,6da1d3b39696c5324889fe12b289faebcfae7317
CVE-2018-25086,CWE-79: Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),https://github.com/sea75300/fanpresscm3,c380d343c2107fcee55ab00eb8d189ce5e03369b,05a3ef40935f47a5ef6cb3a3a1f551cda7d29240
CVE-2018-25106,CWE-89: Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),https://github.com/webuidesigning/NebulaX,41230a81db0f671c570c2644bc2f80565ca83c5a,7d3ddb53bca719895630fe81c7c24c3a930ad3ee
CVE-2018-25071,CWE-89: Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),https://github.com/roxlukas/lmeve,c25ff7fe83a2cda1fcb365b182365adc3ffae332,f225174a9be6990826755f2d7541c513a95100cb
CVE-2018-25076,CWE-89: Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),https://github.com/timbuckingham/bigtree-events,11169e48ab1249109485fdb1e0c9fca3d25ba01d,7b2feffcf16ad3aa30f931f3c468ed3333e95eea
CVE-2018-25057,CWE-89: Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),https://github.com/mikebharris/simple_php_link_shortener,b26ac6480761635ed94ccb0222ba6b732de6e53f,96a0af6e75beb4f77282c1eff4e2424619e7d727
CVE-2018-25067,CWE-89: Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),https://github.com/JoomGallery/JoomGallery,dc414ee954e849082260f8613e15a1c1e1d354a1,67b0415864bbdf50f8e7b0e7a1e8991abc19fbc9
CVE-2018-25073,CWE-79: Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),https://github.com/Newcomer1989/TSN-Ranksystem,b3a3cd8efe2cd3bd3c5b3b7abf2fe80dbee51b77,b2f8fc6b024a9a4b934b92253b6aebc063314830
CVE-2018-25096,CWE-352: Cross-Site Request Forgery (CSRF),https://github.com/MdAlAmin-aol/ownhealthrecord,58b413aa40820b49070782c786c526850ab7748f,75a76126849328943dc4fc09222044d961afbf05
CVE-2018-25080,CWE-79: Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),https://github.com/serbanghita/Mobile-Detect,31818a441b095bdc4838602dbb17b8377d1e5cce,4da80e5624199beaed556e82f2326e63e83d4869
CVE-2018-25065,CWE-79: Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),https://github.com/wikimedia/mediawiki-extensions-I18nTags,b4bc3cbbb099eab50cf2b544cf577116f1867b94,a90495a5061f8cf278f4c96eda0bb4d569d895e5
CVE-2011-10002,CWE-89: Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),https://github.com/rotelok/weblabyrinth,60793fd8c8c4759596d3510641e96ea40e7f60e9,bc89921af4201898ffb922d3e508e444e42012cf
CVE-2012-10004,CWE-79: Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),https://github.com/backdrop-contrib/basic_cart,a10424ccd4b3b4b433cf33b73c1ad608b11890b4,9d90ca0dcd1d2820618abe2b238bd439bd1e92ad
CVE-2012-10005,CWE-79: Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),https://github.com/manikandan170890/php-form-builder-class,74897993818d826595fd5857038e6703456a594a,7e818a429252ecd55129a996295475c787b729c4
CVE-2012-10003,CWE-79: Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),https://github.com/ahmyi/rivettracker,f053c5cc2bc44269b0496b5f275e349928a92ef9,4446795db3efc8eb54729ba9a3fc7337a8292213
CVE-2012-10002,CWE-79: Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),https://github.com/ahmyi/rivettracker,45a0f33876d58cb7e4a0f17da149e58fc893b858,54e8160cc38360da65234744d771ec4c4b9a029b
CVE-2016-5431,CWE-327: Use of a Broken or Risky Cryptographic Algorithm,https://github.com/nov/jose-php,1cce55e27adf0274193eb1cd74b927a398a3df4b,8ed99bc38567cc3ee6a48f42accb2c7dcba80972
CVE-2016-3735,CWE-335: Incorrect Usage of Seeds in Pseudo-Random Number Generator (PRNG),https://github.com/Piwigo/Piwigo,f51ee90c66527fd7ff634f3e8d414cb670da068d,a3c46de7511cb5b66f59375d225b1f0fb66ae988
CVE-2016-9128,CWE-79: Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),https://github.com/revive-adserver/revive-adserver,a323fd626627e8d42819fd5b7e2829196b5c54a3,3aaebcc765797d2c684e031f2836e0a69d6b7bc2
CVE-2016-9130,CWE-79: Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),https://github.com/revive-adserver/revive-adserver,f6880330a8e11e804663f132867e9eb9b1f94e83,38223a841190bebd7a137c7bed84fbbcb2b0c2a5
CVE-2016-9470,CWE-79: Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),https://github.com/revive-adserver/revive-adserver,69aacbd2,71812ba89037a377a800ec72eee71e4a174d86db
